api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
state_set,"32B, modify (fixed keys)",1,200,690.805,7559.346957,3662.54,HF,3662.54,660,900,32,2.46272e+06,2.55144e+06,353160,362895,349559,1,"HF (ledger-write cost reported separately); E2E/HF ratio 2.063962; review #6: modify path"
state_set,"32B, create (fresh keys, salt=rep)",1,200,684.015,26720.464663,2948.1,HF,2948.1,530,900,32,6.49977e+06,7.57693e+06,365350,375924,367405,1,"HF (ledger-write cost reported separately); E2E/HF ratio 9.063616; review #6: create path"
state_set,"256B",1,200,711.14,8286.474735,3729.1,HF,3729.1,670,900,256,2.62789e+06,2.78951e+06,359323,367447,356171,1,"HF (ledger-write cost reported separately); E2E/HF ratio 2.222113"
util_raddr,"K=4",4,1200,391.779,686.530881,658.241,E2E,686.531,130,980,0,1.79186e+06,1.85032e+06,1.01026e+06,1.01247e+06,1.01682e+06,1,""
util_accid,"K=4",4,1200,364.706,628.095695,631.168,HF,631.168,120,690,0,1.71295e+06,1.88282e+06,977444,987492,980494,1,"HF (E2E noisy)"
util_keylet,"ACCOUNT",4,1200,243.926,457.536376,510.388,HF,510.388,92,230,0,1.59353e+06,1.66378e+06,859540,878562,887293,1,"HF (E2E noisy)"
util_keylet,"CHILD",4,1200,78.9592,321.123413,345.421,HF,345.421,62,230,0,1.40512e+06,1.51495e+06,664163,681962,688393,1,"HF (E2E noisy)"
util_keylet,"ESCROW",4,1200,253.238,523.286376,519.7,HF,519.7,93,230,0,1.63839e+06,1.71918e+06,883443,890320,894223,1,"HF (E2E noisy)"
util_keylet,"LINE",4,1200,259.503,515.891932,525.965,HF,525.965,94,230,0,1.63751e+06,1.79193e+06,881466,899520,894309,1,"HF (E2E noisy)"
util_keylet,"AMENDMENTS",4,1200,77.9917,330.497487,344.454,HF,344.454,62,230,0,1.40222e+06,1.52262e+06,657728,671296,679473,1,"HF (E2E noisy)"
util_keylet,"QUALITY",4,1200,83.4258,361.809524,349.888,HF,349.888,63,230,0,1.43947e+06,1.56521e+06,664982,680300,683241,1,"HF (E2E noisy); AMENDMENTS's case also covers FEES/NEGATIVE_UNL/EMITTED_DIR (identical switch case); AMM/BRIDGE/XCHAIN_*/MPTOKEN_*/CREDENTIAL/PERMISSIONED_DOMAIN not built (complex multi-part operands -- asset pairs, bridge specs); every other keylet_type is covered below"
util_keylet,"HOOK",4,1200,247.296,528.958598,513.758,HF,513.758,92,230,0,1.63803e+06,1.76892e+06,876184,893134,886724,1,"HF (E2E noisy)"
util_keylet,"HOOK_STATE",4,1200,249.952,520.566006,516.414,HF,516.414,93,230,0,1.6293e+06,1.79704e+06,881169,891052,904571,1,"HF (E2E noisy)"
util_keylet,"SKIP",4,1200,85.9042,355.480821,352.366,HF,352.366,63,230,0,1.42015e+06,1.56282e+06,665312,683802,684137,1,"HF (E2E noisy)"
